iter	Passed	Remaining
0	2	279
1	5	274
2	8	266
3	10	253
4	13	254
5	16	255
6	19	255
7	21	251
8	24	244
9	26	240
10	29	235
11	31	228
12	33	221
13	34	214
14	36	208
15	38	201
16	40	197
17	42	191
18	43	186
19	45	182
20	47	178
21	49	174
22	51	171
23	52	167
24	55	165
25	57	162
26	58	158
27	60	155
28	62	153
29	64	150
30	66	147
31	68	144
32	70	142
33	71	139
34	73	136
35	75	134
36	77	131
37	79	129
38	80	126
39	82	124
40	84	121
41	85	117
42	86	115
43	88	112
44	90	110
45	92	108
46	93	105
47	95	103
48	97	101
49	99	99
50	100	96
51	102	94
52	104	92
53	106	90
54	107	88
55	109	85
56	111	83
57	112	81
58	114	79
59	117	78
60	118	75
61	120	74
62	122	72
63	124	70
64	126	68
65	128	66
66	130	64
67	131	62
68	133	60
69	135	58
70	137	55
71	139	54
72	140	52
73	142	50
74	144	48
75	146	46
76	147	44
77	149	42
78	151	40
79	153	38
80	155	36
81	157	34
82	158	32
83	160	30
84	162	28
85	164	26
86	166	24
87	168	22
88	170	21
89	172	19
90	174	17
91	176	15
92	178	13
93	180	11
94	182	9
95	184	7
96	185	5
97	187	3
98	189	1
99	191	0
