iter	RMSE
0	14.5354379
1	14.21242186
2	13.92077002
3	13.64611955
4	13.37505706
5	13.10770294
6	12.87444841
7	12.62676043
8	12.40967058
9	12.18699547
10	11.97541783
11	11.78384579
12	11.60279718
13	11.43425447
14	11.26770439
15	11.11379815
16	10.95786502
17	10.81352029
18	10.67215201
19	10.54284444
20	10.42123884
21	10.31331249
22	10.20625904
23	10.10771667
24	10.00710382
25	9.911761772
26	9.819798216
27	9.736865736
28	9.653639361
29	9.57945994
30	9.512068063
31	9.447320695
32	9.379403249
33	9.321566784
34	9.258260274
35	9.205154301
36	9.151571802
37	9.104901064
38	9.056787053
39	9.02019466
40	8.987459274
41	8.949114213
42	8.913783022
43	8.877801872
44	8.844833697
45	8.813689996
46	8.784221957
47	8.754052112
48	8.721609695
49	8.69356983
50	8.670249944
51	8.648301542
52	8.628067118
53	8.607757128
54	8.588345318
55	8.57051124
56	8.552121546
57	8.537061182
58	8.519967889
59	8.50395054
60	8.487851381
61	8.47557972
62	8.463631576
63	8.453732518
64	8.442402275
65	8.429036186
66	8.417354033
67	8.406559262
68	8.395059318
69	8.383957883
70	8.377746398
71	8.367582542
72	8.359749882
73	8.35278749
74	8.344214268
75	8.335189185
76	8.32809046
77	8.319490273
78	8.313690748
79	8.30767401
80	8.302280419
81	8.294882273
82	8.288741892
83	8.283074982
84	8.277068719
85	8.273194751
86	8.268277492
87	8.263045485
88	8.255857084
89	8.250512118
90	8.244998183
91	8.241462069
92	8.236259257
93	8.229653286
94	8.224602588
95	8.219527894
96	8.215524499
97	8.210095936
98	8.205917018
99	8.201366101
100	8.197459708
101	8.194949122
102	8.192155365
103	8.189457294
104	8.183017173
105	8.178263137
106	8.174452219
107	8.171751261
108	8.16727702
109	8.164783018
110	8.160632588
111	8.1577013
112	8.154035034
113	8.148868346
114	8.146315102
115	8.143635942
116	8.140735353
117	8.13632389
118	8.132240551
119	8.129043492
120	8.125747738
121	8.123082107
122	8.119387988
123	8.116262792
124	8.114886036
125	8.112614934
126	8.109974071
127	8.107563792
128	8.10600219
129	8.101437928
130	8.098698622
131	8.093003428
132	8.090228353
133	8.08675016
134	8.08549712
135	8.083942296
136	8.082249802
137	8.078921682
138	8.076462115
139	8.074229665
140	8.071924259
141	8.069054317
142	8.067384915
143	8.065752455
144	8.06156321
145	8.059437593
146	8.055912114
147	8.04944094
148	8.047480242
149	8.044414677
150	8.040053954
151	8.037043119
152	8.033290336
153	8.029839799
154	8.026416715
155	8.021600272
156	8.018468367
157	8.014587224
158	8.013536098
159	8.012413178
160	8.010192143
161	8.007648854
162	8.00314832
163	8.000627396
164	7.998208307
165	7.995427314
166	7.993418741
167	7.99204445
168	7.990378629
169	7.98847087
170	7.987254096
171	7.983650768
172	7.981916276
173	7.977158946
174	7.97322
175	7.970153295
176	7.967897797
177	7.966050625
178	7.963938901
179	7.962322917
180	7.957835863
181	7.954047931
182	7.951987812
183	7.948213897
184	7.944231078
185	7.941331323
186	7.937987665
187	7.93696243
188	7.932968212
189	7.930377078
190	7.927923086
191	7.923735969
192	7.915951425
193	7.908881666
194	7.907330504
195	7.904187316
196	7.899086406
197	7.89572269
198	7.890935917
199	7.888276676
200	7.884351728
201	7.881588992
202	7.880444567
203	7.875248744
204	7.872515311
205	7.869026527
206	7.864662222
207	7.857414643
208	7.852569853
209	7.850583206
210	7.842938078
211	7.839664574
212	7.838307168
213	7.834338419
214	7.827969662
215	7.824707799
216	7.82307691
217	7.819841686
218	7.818231585
219	7.813696181
220	7.808779686
221	7.807392944
222	7.80609214
223	7.802796944
224	7.801299022
225	7.799968627
226	7.796417794
227	7.792107777
228	7.788672809
229	7.787141327
