iter	Passed	Remaining
0	141	141276
1	145	72638
2	149	49728
3	152	37945
4	154	30743
5	156	25974
6	158	22508
7	160	19874
8	161	17825
9	163	16213
10	165	14864
11	167	13760
12	168	12828
13	171	12051
14	172	11347
15	174	10744
16	176	10200
17	178	9716
18	179	9283
19	182	8923
20	183	8573
21	185	8244
22	187	7960
23	189	7695
24	190	7442
25	192	7202
26	194	7003
27	196	6806
28	197	6612
29	199	6445
30	200	6282
31	203	6142
32	204	5997
33	206	5868
34	208	5748
35	210	5625
36	211	5512
37	213	5411
38	215	5311
39	217	5218
40	219	5126
41	220	5032
42	222	4958
43	224	4878
44	226	4800
45	227	4720
46	229	4648
47	231	4581
48	232	4516
49	234	4449
50	235	4390
51	237	4336
52	239	4280
53	241	4232
54	244	4199
55	246	4147
56	247	4098
57	249	4056
58	251	4015
59	253	3968
60	254	3924
61	257	3892
62	258	3848
63	260	3804
64	261	3762
65	263	3727
66	264	3689
67	266	3654
68	268	3618
69	270	3588
70	271	3557
71	273	3521
72	274	3488
73	276	3458
74	278	3430
75	279	3399
76	281	3371
77	283	3346
78	285	3324
79	287	3301
80	289	3282
81	291	3260
82	292	3235
83	294	3208
84	296	3188
85	297	3165
86	299	3141
87	301	3121
88	302	3101
89	304	3081
90	306	3059
91	308	3041
92	310	3024
93	311	3003
94	313	2982
95	314	2963
96	316	2945
97	317	2926
98	319	2906
99	321	2889
100	322	2872
101	324	2854
102	325	2836
103	327	2819
104	328	2802
105	330	2785
106	331	2766
107	333	2752
108	334	2737
109	336	2722
110	337	2706
111	339	2692
112	341	2680
113	343	2666
114	344	2651
115	346	2639
116	348	2626
117	349	2613
118	350	2598
119	352	2585
120	354	2573
121	355	2561
122	357	2549
123	359	2540
124	360	2525
125	362	2515
126	364	2503
127	365	2492
128	367	2482
129	368	2469
130	370	2457
131	372	2447
132	373	2436
133	375	2426
134	377	2416
135	378	2407
136	380	2397
137	382	2388
138	384	2379
139	385	2369
140	387	2360
141	389	2353
142	390	2343
143	392	2333
144	394	2324
145	395	2315
146	397	2305
147	398	2296
148	400	2286
149	402	2278
150	403	2269
151	405	2261
152	406	2253
153	408	2245
154	410	2236
155	411	2228
156	413	2220
157	415	2212
158	416	2204
159	418	2196
160	420	2189
161	421	2182
162	423	2175
163	425	2167
164	426	2160
165	428	2154
166	430	2148
167	432	2140
168	433	2133
169	435	2125
170	436	2117
171	438	2110
172	439	2103
173	441	2096
174	443	2089
175	444	2082
176	446	2075
177	447	2068
178	449	2061
179	451	2055
180	453	2050
181	454	2043
182	456	2036
183	457	2029
184	459	2025
185	461	2019
186	462	2011
187	464	2006
188	466	1999
189	467	1993
190	468	1986
191	470	1979
192	472	1974
193	473	1968
194	475	1961
195	476	1956
196	478	1950
197	479	1944
198	481	1937
199	483	1933
200	484	1927
201	486	1920
202	487	1914
203	488	1907
204	490	1902
205	492	1897
206	493	1892
207	495	1886
208	496	1880
209	498	1875
210	500	1872
211	502	1866
212	504	1862
213	505	1856
214	506	1851
215	508	1845
216	510	1841
217	511	1835
218	513	1829
219	514	1824
220	516	1819
221	517	1814
222	519	1808
223	520	1803
224	522	1801
225	524	1795
226	525	1790
227	527	1784
228	528	1780
229	530	1776
230	531	1770
231	533	1765
232	534	1760
233	536	1755
234	537	1750
235	539	1745
236	540	1740
237	542	1736
238	543	1731
239	545	1727
240	546	1721
241	548	1717
242	549	1713
243	551	1709
244	553	1704
245	554	1700
246	556	1696
247	558	1694
248	560	1690
249	562	1686
250	564	1683
251	565	1678
252	567	1675
253	569	1672
254	571	1669
255	573	1666
256	575	1664
257	577	1661
258	579	1658
259	581	1655
260	583	1653
261	585	1650
262	587	1647
263	589	1644
264	591	1640
265	593	1637
266	595	1634
267	597	1630
268	598	1626
269	600	1624
270	602	1621
271	604	1617
272	606	1614
273	608	1611
274	610	1608
275	612	1605
276	614	1602
277	616	1599
278	617	1596
279	620	1594
280	622	1592
281	624	1589
282	626	1586
283	628	1584
284	630	1581
285	632	1578
286	634	1576
287	635	1572
288	638	1569
289	639	1566
290	642	1565
291	644	1563
292	646	1560
293	648	1557
294	650	1555
295	652	1552
296	654	1549
297	656	1546
298	658	1544
299	660	1541
300	662	1539
301	664	1536
302	666	1533
303	668	1530
304	670	1527
305	672	1525
306	674	1523
307	676	1520
308	678	1518
309	680	1515
310	682	1512
311	684	1510
312	687	1507
313	689	1505
314	690	1502
315	692	1499
316	694	1496
317	696	1493
318	698	1490
319	700	1487
320	701	1484
321	703	1481
322	705	1479
323	707	1476
324	709	1474
325	711	1471
326	713	1468
327	715	1466
328	718	1464
329	720	1462
330	722	1459
331	725	1458
332	727	1456
333	729	1455
334	731	1452
335	733	1450
336	736	1448
337	738	1446
338	740	1444
339	743	1442
340	745	1439
341	747	1437
342	749	1434
343	751	1432
344	753	1430
345	755	1428
346	757	1426
347	759	1423
348	761	1421
349	764	1419
350	766	1416
351	767	1413
352	769	1410
353	771	1407
354	773	1405
355	775	1402
356	777	1399
357	779	1397
358	781	1394
359	782	1391
360	784	1389
361	786	1386
362	789	1384
363	791	1382
364	793	1380
365	795	1378
366	797	1375
367	799	1373
368	802	1371
369	804	1369
370	806	1367
371	808	1364
372	810	1362
373	812	1360
374	814	1357
375	816	1355
376	819	1353
377	821	1351
378	823	1348
379	825	1346
380	827	1344
381	829	1342
382	831	1340
383	833	1337
384	835	1334
385	837	1332
386	839	1330
387	841	1328
388	844	1326
389	846	1323
390	848	1321
391	850	1318
392	851	1315
393	853	1312
394	854	1309
395	856	1306
396	858	1304
397	860	1301
398	862	1299
399	864	1297
400	866	1294
401	868	1292
402	870	1289
403	872	1286
404	874	1284
405	876	1282
406	878	1279
407	880	1276
408	882	1274
409	884	1272
410	886	1270
411	888	1267
412	890	1265
413	891	1262
414	894	1260
415	896	1258
416	898	1256
417	900	1253
418	902	1251
419	904	1249
420	907	1247
421	909	1245
422	911	1243
423	914	1241
424	916	1239
425	918	1238
426	921	1236
427	923	1234
428	925	1232
429	928	1230
430	930	1228
431	933	1226
432	935	1224
433	938	1223
